t=2026-05-04T00:36:31+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-04T00:36:31+0530 lvl=info msg="using configuration at default config path" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-04T00:36:31+0530 lvl=info msg="open config file" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-04T00:36:31+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-04T00:36:31+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-04T00:36:31+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-04T00:36:31+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-04T00:36:32+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://spleen-unfocused-antacid.ngrok-free.dev
t=2026-05-04T00:36:34+0530 lvl=info msg=start pg=/api/tunnels id=1e9ef497c7e554de
t=2026-05-04T00:36:34+0530 lvl=info msg=end pg=/api/tunnels id=1e9ef497c7e554de status=200 dur=540.542µs
t=2026-05-04T00:36:56+0530 lvl=info msg="join connections" obj=join id=f1822724ee15 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=d9c93b507d39 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=0b1d63515c02 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=0c2301927da0 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=628920728b00 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=56351f4ef00e l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=e2cef05a0b82 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=8bcd1cdc3196 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=aec745766b4c l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=e57b04f2ae6f l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=df2e9a211f5c l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=419e0d28f068 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=d22e0b6e5297 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=bd16cd3b6b3d l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=5a9118b2dc3e l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=bce1c079612a l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=7a80a0bc6a8c l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:57+0530 lvl=info msg="join connections" obj=join id=3e9c1f699e8f l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=f62fc19843a7 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=fe78e571a905 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=33b341c5d8f0 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=261ae528d931 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=798b78274775 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=8e5e7211facc l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=a1dc05d843a3 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=4c8cf1ed8c65 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
t=2026-05-04T00:36:58+0530 lvl=info msg="join connections" obj=join id=35421412ae3f l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:f000:0:4]:10588
